original_language,titles,average_popularity,average_sentiment,average_rating
en,437,50.664542562929064,0.03230279905935076,7.450560640732266
ja,43,55.46830697674419,0.021149486495416727,7.789581395348837
zh,19,53.68440526315789,0.0527198678514468,7.267263157894737
ko,18,37.56128888888889,0.083033283955903,7.740722222222222
es,18,36.30897777777778,0.04271959008070119,6.050944444444444
fr,8,51.7406375,0.15598112824675325,5.835
de,8,36.8317125,0.12818877551020408,4.631625
tl,7,52.156400000000005,-0.015104102246959397,6.9832857142857145
tr,6,45.64051666666666,-0.01850536616161617,7.608833333333333
it,6,26.15935,0.2652380952380952,6.057333333333333
hi,6,35.05748333333333,0.06861111111111111,5.374
no,3,36.298399999999994,0.18416666666666667,7.933
ta,2,18.18595,0.15416666666666667,8.25
th,2,33.0574,0.1025,6.9405
lv,2,17.7061,0.4,8.148
sv,2,31.181849999999997,0.04250000000000001,5.234
ru,2,42.7919,0.0874905303030303,7.25
pl,2,51.69015,0.17363636363636362,6.45
cn,1,36.1994,0.13228438228438227,0.0
cs,1,71.9462,0.31999999999999995,6.1
af,1,42.9684,-0.16666666666666666,7.5
ar,1,20.6139,-0.2,10.0
ms,1,53.0713,0.22692307692307695,0.0
pt,1,16.1535,-0.009595959595959616,5.6
nl,1,20.5866,-0.30000000000000004,5.901
ka,1,29.4974,0.0,0.0
te,1,54.5533,0.11999999999999997,5.8
